frame_idx,time_s,shift_px,position_mm
0,0.0,-0.414,-0.001902
1,0.0025,-0.3708,-0.001703
2,0.005,-0.3255,-0.001495
3,0.0075,-0.4667,-0.002144
4,0.01,-0.0799,-0.000367
5,0.0125,-0.1225,-0.000563
6,0.015,-0.5164,-0.002372
7,0.0175,-0.4284,-0.001968
8,0.02,-0.2516,-0.001156
9,0.0225,-0.2719,-0.001249
10,0.025,-0.8715,-0.004003
11,0.0275,-0.4719,-0.002167
12,0.03,-0.0926,-0.000425
13,0.0325,0.0734,0.000337
14,0.035,-0.1749,-0.000803
15,0.0375,-0.2388,-0.001097
16,0.04,0.2949,0.001355
17,0.0425,0.3533,0.001623
18,0.045,0.2678,0.00123
19,0.0475,0.2496,0.001146
20,0.05,-0.0511,-0.000235
21,0.0525,-0.426,-0.001957
22,0.055,-0.122,-0.000561
23,0.0575,-0.5314,-0.002441
24,0.06,-0.6715,-0.003084
25,0.0625,-0.7219,-0.003316
26,0.065,-0.3967,-0.001822
27,0.0675,-0.3073,-0.001411
28,0.07,-0.6747,-0.003099
29,0.0725,-0.7296,-0.003351
30,0.075,-0.9425,-0.004329
31,0.0775,-0.1862,-0.000855
32,0.08,-0.1975,-0.000907
33,0.0825,-0.4456,-0.002047
34,0.085,-0.4938,-0.002268
35,0.0875,-0.2653,-0.001218
36,0.09,0.1261,0.000579
37,0.0925,0.2105,0.000967
38,0.095,0.3583,0.001646
39,0.0975,0.4742,0.002178
40,0.1,0.9767,0.004486
41,0.1025,0.984,0.004519
42,0.105,0.57,0.002618
43,0.1075,0.6738,0.003095
44,0.11,0.5246,0.00241
45,0.1125,0.5269,0.00242
46,0.115,0.5864,0.002693
47,0.1175,0.4546,0.002088
48,0.12,0.4314,0.001982
49,0.1225,0.1629,0.000748
50,0.125,-0.2748,-0.001262
51,0.1275,-0.258,-0.001185
52,0.13,0.0012,6e-06
53,0.1325,-0.0389,-0.000179
54,0.135,0.4956,0.002276
55,0.1375,0.3659,0.00168
56,0.14,0.262,0.001203
57,0.1425,0.6153,0.002826
58,0.145,0.8888,0.004082
59,0.1475,0.8096,0.003719
60,0.15,0.769,0.003532
61,0.1525,0.7846,0.003604
62,0.155,1.0736,0.004931
63,0.1575,1.0597,0.004867
64,0.16,1.0297,0.004729
65,0.1625,1.1915,0.005472
66,0.165,1.0494,0.00482
67,0.1675,1.733,0.00796
68,0.17,1.678,0.007707
69,0.1725,1.677,0.007702
70,0.175,1.5312,0.007033
71,0.1775,1.3682,0.006284
72,0.18,1.1948,0.005488
73,0.1825,1.2315,0.005656
74,0.185,0.7719,0.003545
75,0.1875,0.7831,0.003597
76,0.19,0.9581,0.004401
77,0.1925,1.2266,0.005634
78,0.195,1.3057,0.005997
79,0.1975,2.1031,0.00966
80,0.2,2.9473,0.013537
81,0.2025,3.4062,0.015645
82,0.205,3.6252,0.01665
83,0.2075,3.9448,0.018119
84,0.21,4.4339,0.020365
85,0.2125,4.8264,0.022167
86,0.215,4.9664,0.022811
87,0.2175,4.9441,0.022708
88,0.22,4.3292,0.019884
89,0.2225,4.6132,0.021188
90,0.225,4.496,0.02065
91,0.2275,4.7996,0.022044
92,0.23,4.4624,0.020496
93,0.2325,4.4274,0.020335
94,0.235,4.9263,0.022626
95,0.2375,4.8302,0.022185
96,0.24,4.765,0.021885
97,0.2425,4.3769,0.020103
98,0.245,4.5662,0.020973
99,0.2475,4.8044,0.022067
100,0.25,5.0263,0.023086
101,0.2525,5.1024,0.023435
102,0.255,4.8155,0.022118
103,0.2575,4.584,0.021054
104,0.26,4.5107,0.020718
105,0.2625,4.0666,0.018678
106,0.265,4.1813,0.019205
107,0.2675,4.173,0.019166
108,0.27,3.9959,0.018353
109,0.2725,3.974,0.018253
110,0.275,3.5561,0.016333
111,0.2775,3.3061,0.015185
112,0.28,2.8889,0.013269
113,0.2825,3.3326,0.015307
114,0.285,3.271,0.015024
115,0.2875,2.8768,0.013213
116,0.29,2.9965,0.013763
117,0.2925,2.9517,0.013557
118,0.295,3.076,0.014128
119,0.2975,2.8991,0.013316
120,0.3,2.8184,0.012945
121,0.3025,3.1006,0.014241
122,0.305,3.3563,0.015415
123,0.3075,3.4417,0.015808
124,0.31,3.3828,0.015537
125,0.3125,3.5848,0.016465
126,0.315,3.5783,0.016435
127,0.3175,3.3776,0.015513
128,0.32,3.5142,0.016141
129,0.3225,3.5234,0.016183
130,0.325,3.1578,0.014504
131,0.3275,3.2547,0.014949
132,0.33,3.3263,0.015278
133,0.3325,3.3608,0.015436
134,0.335,3.1247,0.014352
135,0.3375,2.9579,0.013585
136,0.34,3.1985,0.014691
137,0.3425,3.2717,0.015027
138,0.345,2.8307,0.013002
139,0.3475,2.7533,0.012646
140,0.35,2.9516,0.013557
141,0.3525,3.2477,0.014917
142,0.355,3.1516,0.014475
143,0.3575,3.2157,0.01477
144,0.36,2.8887,0.013268
145,0.3625,2.4667,0.011329
146,0.365,2.6266,0.012064
147,0.3675,2.4041,0.011042
148,0.37,2.7129,0.01246
149,0.3725,2.3384,0.01074
150,0.375,2.2861,0.0105
151,0.3775,2.194,0.010077
152,0.38,2.2274,0.01023
153,0.3825,2.0121,0.009242
154,0.385,2.021,0.009283
155,0.3875,2.2341,0.010261
156,0.39,1.9669,0.009034
157,0.3925,1.9546,0.008978
158,0.395,2.4266,0.011145
159,0.3975,2.556,0.01174
160,0.4,2.7666,0.012707
161,0.4025,2.9186,0.013405
162,0.405,2.8431,0.013059
163,0.4075,2.8418,0.013053
164,0.41,2.9154,0.01339
165,0.4125,2.9751,0.013664
166,0.415,2.5062,0.011511
167,0.4175,2.6115,0.011995
168,0.42,2.8067,0.012891
169,0.4225,2.8648,0.013158
170,0.425,2.7962,0.012843
171,0.4275,2.6044,0.011962
172,0.43,2.48,0.011391
173,0.4325,2.3314,0.010708
174,0.435,1.326,0.00609
175,0.4375,0.9299,0.004271
176,0.44,1.1769,0.005406
177,0.4425,1.3907,0.006388
178,0.445,1.3752,0.006316
179,0.4475,1.3947,0.006406
180,0.45,1.3348,0.006131
181,0.4525,1.3511,0.006206
182,0.455,1.7448,0.008014
183,0.4575,1.6769,0.007702
184,0.46,1.2698,0.005832
185,0.4625,1.1648,0.00535
186,0.465,0.954,0.004382
187,0.4675,1.0122,0.004649
188,0.47,1.0641,0.004887
189,0.4725,0.9401,0.004318
190,0.475,0.4658,0.002139
191,0.4775,0.5619,0.002581
192,0.48,1.0857,0.004987
193,0.4825,0.9375,0.004306
194,0.485,1.0074,0.004627
195,0.4875,1.0239,0.004703
196,0.49,1.3153,0.006041
197,0.4925,1.6698,0.007669
198,0.495,1.6149,0.007417
199,0.4975,2.0755,0.009533
200,0.5,2.0148,0.009254
201,0.5025,2.3205,0.010658
202,0.505,2.0665,0.009491
203,0.5075,1.9183,0.008811
204,0.51,1.7489,0.008033
205,0.5125,1.7006,0.007811
206,0.515,1.7732,0.008145
207,0.5175,1.4503,0.006661
208,0.52,1.9699,0.009048
209,0.5225,2.1172,0.009724
210,0.525,2.021,0.009282
211,0.5275,1.8397,0.00845
212,0.53,2.0073,0.00922
213,0.5325,1.771,0.008134
214,0.535,1.6298,0.007486
215,0.5375,1.7985,0.00826
216,0.54,1.6692,0.007666
217,0.5425,1.6969,0.007794
218,0.545,1.3729,0.006306
219,0.5475,1.4618,0.006714
220,0.55,1.4834,0.006813
221,0.5525,0.9657,0.004435
222,0.555,1.3735,0.006308
223,0.5575,1.9411,0.008915
224,0.56,2.244,0.010307
225,0.5625,1.9633,0.009018
226,0.565,1.4373,0.006602
227,0.5675,1.3051,0.005995
228,0.57,1.4625,0.006717
229,0.5725,1.2549,0.005764
230,0.575,1.2432,0.00571
231,0.5775,1.4508,0.006664
232,0.58,1.6892,0.007758
233,0.5825,1.7463,0.008021
234,0.585,2.2825,0.010484
235,0.5875,2.0343,0.009344
236,0.59,2.0208,0.009282
237,0.5925,2.1358,0.00981
238,0.595,2.1293,0.00978
239,0.5975,2.5087,0.011522
240,0.6,2.8616,0.013143
241,0.6025,2.8644,0.013156
242,0.605,2.8386,0.013038
243,0.6075,3.0944,0.014213
244,0.61,3.0846,0.014168
245,0.6125,3.1738,0.014577
246,0.615,3.2164,0.014773
247,0.6175,2.9072,0.013353
248,0.62,2.9659,0.013622
249,0.6225,2.5669,0.01179
250,0.625,2.521,0.011579
251,0.6275,3.0069,0.013811
252,0.63,3.0996,0.014236
253,0.6325,3.3341,0.015314
254,0.635,3.6933,0.016963
255,0.6375,3.713,0.017054
256,0.64,3.758,0.017261
257,0.6425,3.9472,0.018129
258,0.645,3.857,0.017715
259,0.6475,3.9051,0.017936
260,0.65,3.8179,0.017536
261,0.6525,4.1717,0.019161
262,0.655,4.1391,0.019011
263,0.6575,4.2438,0.019492
264,0.66,4.0995,0.018829
265,0.6625,4.2408,0.019478
266,0.665,4.0116,0.018425
267,0.6675,3.5771,0.01643
268,0.67,3.1703,0.014561
269,0.6725,3.4417,0.015808
270,0.675,3.3492,0.015383
271,0.6775,3.2425,0.014893
272,0.68,2.8951,0.013297
273,0.6825,3.2019,0.014706
274,0.685,3.887,0.017853
275,0.6875,3.7416,0.017185
276,0.69,4.0939,0.018803
277,0.6925,4.0023,0.018382
278,0.695,4.4903,0.020624
279,0.6975,4.4339,0.020365
280,0.7,4.0746,0.018715
281,0.7025,3.9088,0.017953
282,0.705,3.9255,0.01803
283,0.7075,4.1949,0.019267
284,0.71,4.1513,0.019067
285,0.7125,4.2231,0.019397
286,0.715,4.2719,0.019621
287,0.7175,4.1248,0.018945
288,0.72,4.5892,0.021078
289,0.7225,4.6132,0.021189
290,0.725,4.7914,0.022007
291,0.7275,4.3565,0.020009
292,0.73,4.6386,0.021305
293,0.7325,4.8639,0.02234
294,0.735,4.6803,0.021497
295,0.7375,4.8961,0.022488
296,0.74,4.8056,0.022072
297,0.7425,4.8564,0.022305
298,0.745,4.909,0.022547
299,0.7475,4.3419,0.019942
300,0.75,3.9502,0.018143
301,0.7525,4.0651,0.018671
302,0.755,4.1969,0.019276
303,0.7575,4.1226,0.018935
304,0.76,4.3871,0.02015
305,0.7625,4.233,0.019442
306,0.765,4.3353,0.019912
307,0.7675,3.8834,0.017836
308,0.77,3.4026,0.015628
309,0.7725,2.9463,0.013532
310,0.775,2.9714,0.013647
311,0.7775,3.4121,0.015672
312,0.78,3.345,0.015364
313,0.7825,3.3891,0.015566
